name,rail,rotation,epaule,coude,tete
prise_devant,550,2024,2300,785,50
prise_devant_tasse,520,2024,2450,730,50
prise_devant_g,550,2024,2300,785,664
prise_devant_g_tasse,520,2024,2450,730,664
predepose_stock,550,2024,2400,500,50
predepose_sol_1,550,2024,2700,575,50
predepose_sol_2,550,2024,2550,575,50
depose_sol,330,2024,2700,575,50
prise_stock_g,386,2038,2212,512,668
prise_stock_d,550,2012,2646,238,69
preprise_stock_g,550,2038,2212,512,668
p1,550,2038,2396,376,669
p2,520,2024,2529,594,50
p3,377,2024,2772,490,50
p4,159,2024,2945,474,50
p5,330,2024,2550,575,50
p6,330,2024,2550,575,50
p7,330,2024,2550,575,50
pp1,561,2036,2205,512,668
pp2,550,2012,2226,969,69
pp3,550,2012,3105,969,69
pp4,550,2012,3105,91,69
pp5,550,2012,2646,238,69
pp6,550,2024,2364,408,69
pp7,395,2024,2245,496,69
hold_g,550,2012,2646,238,69
rampe_depose,555,1762,2094,176,564
rampe_predepose,555,1762,2231,176,564
rampe_pre5,555,1762,2417,176,530
rampe_pre4,555,1585,2790,176,530
rampe_pre3,555,1840,2798,198,627
rampe_pre2,555,2073,2790,304,661
rampe_pre1,555,1767,2790,176,621
pre_depart_gauche,557,2043,2907,609,671
pre_depart_droite,557,2043,2907,609,51
prepare_stock_droite_haut,570,2033,2220,506,48
prepare_stock_droite_1_palet,390,2033,2220,506,48
prepare_stock_droite_2_palet,470,2033,2220,506,48
prepare_stock_gauche_haut,570,2033,2220,506,671
prepare_stock_gauche_1_palet,390,2033,2220,506,671
prepare_stock_gauche_2_palet,470,2033,2220,506,671
milieu_droite,556,2049,2680,433,51
milieu_gauche,556,2049,2680,433,671
preprise_distrib_4_5,173,1087,2422,719,333
prise_distrib_4_5,365,1504,2356,751,217
degagement_distrib_4_5,173,1312,2465,702,362
